ID;"Product name";"Product price";"Product retailer price";PZN;"Product description";"Product short-name";"Product category";"Product stock level";"Product discounted price";"Discount in %";"Discount absolute";"Adwords keywords";"Link to Product image";"Link to Product";Tags;"Active/Not Active"
AT-P2261495-250G;"Schüßler Salz Nr. 1 Calcium fluoratum 250G";"10.45 EUR";"14.60 EUR";2261495;"Das Schüßler Salz für Haut, Zähne und Knochen";"Schüßler Salz Nr. 1";"Naturheilmittel > Schüßler Mineralstoffe > Schüßler-Salze > Körperpflege > Mundhygiene";0;"10.45 EUR";40%;"4.15 EUR";"Schüßler Salz Nr. 1";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/b/i/biochemie_nach_dr._sch_ler_nr._1_250g.jpg;https://www.vamida.at/schussler-salz-nr-1-calcium-fluoratum-250g.html;onSale;Active
AT-P2261466-100G;"Schüßler Salz Nr. 1 Calcium fluoratum 100G";"5.03 EUR";"7.75 EUR";2261466;"Das Schüßler Salz für Haut, Zähne und Knochen";"Schüßler Salz Nr. 1";"Naturheilmittel > Schüßler Mineralstoffe > Schüßler-Salze > Körperpflege > Mundhygiene";6;"5.03 EUR";54%;"2.72 EUR";"Schüßler Salz Nr. 1";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/b/i/biochemie_nach_dr._sch_ler_nr._1_100g_1.jpg;https://www.vamida.at/schussler-salz-nr-1-calcium-fluoratum-100g.html;onSale;Active
AT-P3335741-10G;"Bach Original Rescue Globuli - AUFGELASSEN";"6.29 EUR";"9.00 EUR";3335741;;"Bach Original Rescue Globuli - AUFGELASSEN";"Naturheilmittel > Bach Original > Wintersport & Ski-Urlaub > Körperpflege > Entspannung > Schlaf > homöopathische Mittel";0;"6.29 EUR";43%;"2.71 EUR";;https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P3335741-10G-18523366.jpg;https://www.vamida.at/bach-original-rescue-globuli.html;onSale;"Not Active"
AT-P2673714-20ML;"Bach Original Rescue Spray";"16.13 EUR";"19.48 EUR";2673714;"Die natürliche Hilfe in aufregenden Situationen";"Bach Original Rescue";"Beruhigung, Schlaf & Nerven > Naturheilmittel > Bach Original > Körperpflege > Entspannung > Schlaf > leistungssteigernde Mittel > Nahrungsergänzungsmittel";0;"16.13 EUR";21%;"3.35 EUR";"Bach Original Rescue";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P2673714-20ML-18267668.jpg;https://www.vamida.at/bach-original-rescue-spray.html;onSale;Active
AT-P1130130-20ML;"Exoderil 1% Lösung";"9.45 EUR";"13.15 EUR";1130130;"Exoderil 1% heilt rasch Pilzerkrankungen der Füße,";"Exoderil 1%";"Haut, Haare & Nägel > Körperpflege > Haut Haare & Nägel";39;"9.45 EUR";39%;"3.70 EUR";"Exoderil 1%";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P1130130-20ML-18263576.jpg;https://www.vamida.at/exoderil-1-losung.html;onSale;Active
AT-P3886323-20ST;"Dr. Kottas Frauentee";"3.70 EUR";"4.80 EUR";3886323;"Hochwertige Kräuterteemischung für die Wechseljahre";"Dr. Kottas";"Für Sie & Ihn > Die Frau in den Wechseljahren > Dr. Kottas > Frauengesundheit > Schwangerschaft > gesunde Nahrungsmittel";0;"3.70 EUR";30%;"1.10 EUR";"Dr. Kottas, Dr. Kottas Frauentee, Frauentee";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P3886323-20ST-18172378.jpg;https://www.vamida.at/dr-kottas-frauentee-20st.html;onSale;Active
AT-P3886375-20ST;"Dr. Kottas Anis-Fencheltee";"3.70 EUR";"4.80 EUR";3886375;"Dr. Kottas Anis- Fencheltee ist gut für die Verdauung";"Dr. Kottas";"Magen & Darm > Dr. Kottas > Körperpflege > Verdauung > gesunde Nahrungsmittel";3;"3.70 EUR";30%;"1.10 EUR";"Dr. Kottas";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P3886375-20ST-18171385.jpg;https://www.vamida.at/dr-kottas-anis-fencheltee-20st.html;onSale;Active
AT-P3886607-20ST;"Dr. Kottas Fencheltee";"2.56 EUR";"3.90 EUR";3886607;"Kräutertee zur Unterstützung der Verdauung";"Dr. Kottas";"Magen & Darm > Dr. Kottas > Abverkauf > Schwangerschaft > Babys und Kinder > Verdauung > gesunde Nahrungsmittel";0;"2.56 EUR";52%;"1.34 EUR";"Dr. Kottas";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P3886607-20ST-18170707.jpg;https://www.vamida.at/dr-kottas-fencheltee-20st.html;onSale;Active
AT-P3784901-16ST;"Paradolor Erdbeer-Vanille 250mg";"4.06 EUR";"6.25 EUR";3784901;"Der Schmerz-Stick mit dem Wirkungs-Kick";Paradolor;"Schmerzen & Verletzungen > Kinder & Jugendliche > Paradolor > Stada Arzneimittel > Erkältung > Frauengesundheit > Schmerzmittel > Babys und Kinder";2;"4.06 EUR";54%;"2.19 EUR";Paradolor;https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P3784901-16ST-18235735.jpg;https://www.vamida.at/paradolor-erdbeer-vanille-250mg.html;onSale;Active
AT-P3784918-16ST;"Paradolor Erdbeer-Vanille 500mg";"5.29 EUR";"7.95 EUR";3784918;"Der Schmerz-Stick mit dem Wirkungs-Kick für unterwegs";Paradolor;"Schmerzen & Verletzungen > Paradolor > Stada Arzneimittel > Erkältung > Frauengesundheit > Schmerzmittel";1;"5.29 EUR";50%;"2.66 EUR";Paradolor;https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P3784918-16ST-18235933.jpg;https://www.vamida.at/paradolor-erdbeer-vanille-500mg.html;onSale;Active
