ID;"Product name";"Product price";"Product retailer price";PZN;"Product description";"Product short-name";"Product category";"Product stock level";"Product discounted price";"Discount in %";"Discount absolute";"Adwords keywords";"Link to Product image";"Link to Product";Tags;"Active/Not Active"
AT-P1342582-96ST;"Nicotinell Mint 1mg Lutschtabletten";"28.77 EUR";"30.80 EUR";1342582;"Therapeutisches Nikotin für eine sanfte Entwöhnung";"Nicotinell Mint";"Raucherentwöhnung > Raucherentwöhnung > Nicotinell > Raucherentwöhnung > Summer Sale 2016";4;"28.77 EUR";7%;"2.03 EUR";"Nicotinell Mint";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P1342582-96ST-18108087.jpg;https://www.vamida.de/nicotinell-mint-1mg-lutschtabletten.html;onSale;Active
AT-P1276448-500ML;"Montana Haustropfen 500ML";"19.35 EUR";"25.00 EUR";1276448;"Magen- Darmprobleme ade. Dank Montana Haustropfen";"Montana Haustropfen";"Magen & Darm > Körperpflege > Verdauung";12;"19.35 EUR";29%;"5.65 EUR";"Montana Haustropfen";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P1276448-500ML-17097526.jpg;https://www.vamida.de/montana-haustropfen-500ml.html;onSale;Active
AT-P0752361-50ML;"Similasan Schlaf- und Entspannungstropfen";"11.56 EUR";"13.90 EUR";752361;"Zur natürlichen Behandlung von Ein- und Durchschlafstörungen";Similasan;"Beruhigung, Schlaf & Nerven > Naturheilmittel > Homöopathie > Similasan > Körperpflege > Entspannung > Schlaf > homöopathische Mittel";3;"11.56 EUR";20%;"2.34 EUR";Similasan;https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P0752361-50ML-16481605.jpg;https://www.vamida.de/similasan-schlaf-und-entspannungstropfen.html;onSale;Active
AT-P1796490-10ST;"Ohropax Soft";"3.21 EUR";"4.14 EUR";1796490;"Schützt vor Lärm und bringt Entspannung";"Ohropax Soft";"Beruhigung, Schlaf & Nerven > Augen & Ohren > Ohropax > Schlaf > Ohren";1;"3.21 EUR";29%;"0.93 EUR";"Ohropax Soft";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/s/o/soft_dose_10er_b.jpg;https://www.vamida.de/ohropax-soft.html;onSale;Active
AT-P5024287-12ST;"Ohropax Classic 12ST";"2.74 EUR";"3.33 EUR";5024287;"Sanft und zuverlässig gegen störenden Lärm";"Ohropax Classic";"Beruhigung, Schlaf & Nerven > Augen & Ohren > Ohropax > Schlaf > Ohren";1;"2.74 EUR";22%;"0.59 EUR";"Ohropax Classic";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/2/0/2014_classic_12er_dose_web_72dpi.jpg;https://www.vamida.de/ohropax-classic-12st.html;onSale;Active
AT-P3781251-20ST;"Neuralgin Schmerztabletten 20ST";"3.04 EUR";"4.50 EUR";3781251;"Schnelle Hilfe bei Kopfschmerz und Co";Neuralgin;"Schmerzen & Verletzungen > Schmerzmittel > Wundversorgung";1;"3.04 EUR";48%;"1.46 EUR";Neuralgin;https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P3781251-20ST-17723358.jpg;https://www.vamida.de/neuralgin-schmerztabletten.html;onSale;Active
AT-P2021874-30ST;"Sanvita Ginseng Kapseln 30ST";"12.78 EUR";"18.45 EUR";2021874;"Geistige und körperliche Leistungsfähigkeit wecken!";Sanvita;"Herz, Kreislauf & Gefäße > Sanvita > Abverkauf > Herz-Kreislauf > leistungssteigernde Mittel";2;"12.78 EUR";44%;"5.67 EUR";Sanvita;https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/s/a/sanvita_ginseng_30.jpg;https://www.vamida.de/sanvita-ginseng-gel-royal-30st.html;onSale;Active
AT-P1273266-20ST;"Thomapyrin mit Vitamin C - AUFGELASSEN";"7.99 EUR";"10.20 EUR";1273266;;"Thomapyrin mit Vitamin C - AUFGELASSEN";"Schmerzen & Verletzungen > Thomapyrin";0;"7.99 EUR";28%;"2.21 EUR";;https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P1273266-20ST-17636998.jpg;https://www.vamida.de/thomapyrin-mit-vitamin-c-20st.html;onSale;"Not Active"
AT-P0752289-50ML;"Similasan Nerventropfen";"10.81 EUR";"13.90 EUR";752289;"Schnelle Hilfe bei Unruhe und Angstgefühlen";Similasan;"Beruhigung, Schlaf & Nerven > Naturheilmittel > Homöopathie > Similasan > Körperpflege > Entspannung > Schlaf > homöopathische Mittel";0;"10.81 EUR";29%;"3.09 EUR";Similasan;https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P0752289-50ML-16481713.jpg;https://www.vamida.de/similasan-nerventropfen.html;onSale;Active
AT-P2856395-200ML;"Rausch Shampoo Weidenrinden spezial 200 ml";"11.51 EUR";"12.50 EUR";2856395;"Shampoo -bei Schuppen, Läusen und Haarausfall";Rausch;"Kosmetik & Pflegeprodukte > Rausch > Kosmetik > Körperpflege";6;"11.51 EUR";9%;"0.99 EUR";Rausch;https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P2856395-200ML__RauschShampooWeidenrindenspezial200ml.png;https://www.vamida.de/rausch-shampoo-weidenrinden-spezial.html;onSale;Active
AT-P0061504-50ML;"Venoruton Tropfen - AUFGELASSEN ";"7.08 EUR";"8.50 EUR";61504;"Die Hilfe bei müden, schweren und geschwollenen Beinen";Venoruton;"Herz, Kreislauf & Gefäße > Venoruton > Verdauung > Herz-Kreislauf > Blutgefäße";0;"7.08 EUR";20%;"1.42 EUR";Venoruton;https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P0061504-50ML-18108812.jpg;https://www.vamida.de/venoruton-tropfen.html;onSale;"Not Active"
AT-P0074814-40G;"Venoruton Gel 40G";"3.82 EUR";"5.90 EUR";74814;"Die rasche Hilfe bei Krampfadern und Venenleiden";Venoruton;"Rücken, Gelenke & Muskeln > Herz, Kreislauf & Gefäße > Venoruton > Abverkauf > Herz-Kreislauf > Blutgefäße > Summer Sale 2016";3;"3.82 EUR";54%;"2.08 EUR";Venoruton;https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P0074814-40G-18108759.jpg;https://www.vamida.de/venoruton-gel-40g.html;onSale;Active
AT-P1731415-20ML;"Bach Original Rescue Tropfen 20ML";"16.69 EUR";"21.20 EUR";1731415;"Bewährte Unterstützung in kritischen Momenten";"Bach Original Rescue";"Naturheilmittel > Bach Original > Körperpflege > Entspannung > Schlaf > homöopathische Mittel";13;"16.69 EUR";27%;"4.51 EUR";"Bach Original Rescue";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P1731415-20ML-17635835.jpg;https://www.vamida.de/bach-original-rescue-tropfen-20ml.html;onSale;Active
AT-P2641401-50G;"Bach Original Rescue Creme 50G";"14.78 EUR";"17.70 EUR";2641401;"Natürliche Unterstützung für irritierte Haut";"Bach Original Rescue";"Naturheilmittel > Bach Original > Sonnenschutzmittel > Körperpflege > Haut Haare & Nägel > homöopathische Mittel > Schmerzmittel";0;"14.78 EUR";20%;"2.92 EUR";"Bach Original Rescue";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P2641401-50G-17531005.jpg;https://www.vamida.de/bach-original-rescue-creme-50g.html;onSale;Active
AT-P3236140-50G;"Bach Original Rescue Schwarze Johannisbeere Pastillen";"7.24 EUR";"10.60 EUR";3236140;"Fruchtige Entspannung für belastende Situationen";"Bach Original Rescue";"Naturheilmittel > Bach Original > Körperpflege > Entspannung > Schlaf > homöopathische Mittel";1;"7.24 EUR";46%;"3.36 EUR";"Bach Original Rescue";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P3236140-50G-17725209.jpg;https://www.vamida.de/bach-original-rescue-schwarze-johannisbeere-pastillen.html;onSale;Active
AT-P3145621-50G;"Bach Original Rescue Orange Holunder Pastillen";"7.24 EUR";"10.60 EUR";3145621;"Fruchtige Entspannung für belastende Situationen";"Bach Original Rescue";"Naturheilmittel > Bach Original > Körperpflege > Entspannung > Schlaf > homöopathische Mittel > Babys und Kinder";1;"7.24 EUR";46%;"3.36 EUR";"Bach Original Rescue";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P3145621-50G-17720335.jpg;https://www.vamida.de/bach-original-rescue-orange-holunder-pastillen.html;onSale;Active
AT-P3725502-20ML;"Bach Original Rescue Night Spray - AUFGELASSEN - Nachfolge PZN: 4399714";"20.02 EUR";"21.90 EUR";3725502;"Erholsamer Schlaf und Entspannung mit Bachblüten";"Bach Original Rescue";"Naturheilmittel > Bach Original > Körperpflege > Entspannung > Schlaf > homöopathische Mittel > Babys und Kinder";3;"20.02 EUR";9%;"1.88 EUR";"Bach Original Rescue";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P3725502-20ML-17720328.jpg;https://www.vamida.de/bach-original-rescue-night-spray.html;onSale;"Not Active"
AT-P3413323-10ML;"Bach Original Rescue Kids ohne Alkohol";"13.41 EUR";"17.00 EUR";3413323;"Natürliche Unterstützung für die Hürden des Alltags";"Bach Original Rescue";"Naturheilmittel > Bach Original > Kinder & Jugendliche > Körperpflege > Entspannung > Schlaf > homöopathische Mittel > Babys und Kinder > Summer Sale 2016";1;"13.41 EUR";27%;"3.59 EUR";"Bach Original Rescue";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P3413323-10ML-17720319.jpg;https://www.vamida.de/bach-original-rescue-kids-ohne-alkohol.html;onSale;Active
AT-P3443525-37G;"Bach Original Rescue Kaugummi - AUFGELASSEN";"5.53 EUR";"6.50 EUR";3443525;;"Bach Original Rescue Kaugummi - AUFGELASSEN";"Naturheilmittel > Bach Original > Gesunde Nahrungsmittel";0;"5.53 EUR";18%;"0.98 EUR";;https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P3443525-37G-17635852.jpg;https://www.vamida.de/bach-original-rescue-kaugummi.html;onSale;"Not Active"
AT-P3776959-120ML;"Tantum Verde Lösung zum Gurgeln 120ML";"3.88 EUR";"5.75 EUR";3776959;"Hilfe bei Entzündungen im Mund- und Rachenraum";"Tantum Verde";"Zahngesundheit & Mundhygiene > Tantum Verde/Lemocin > Mundhygiene";2;"3.88 EUR";48%;"1.87 EUR";"Tantum Verde";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P3776959-120ML-18209820.jpg;https://www.vamida.de/tantum-verde-losung-zum-gurgeln-120ml.html;onSale;Active
AT-P1274797-30ML;"Guttalax Tropfen";"9.18 EUR";"11.20 EUR";1274797;"Zuverlässige und schonende Abhilfe bei Verstopfung";Guttalax;"Magen & Darm > Verdauung";22;"9.18 EUR";22%;"2.02 EUR";Guttalax;https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P1274797-30ML-17636631.jpg;https://www.vamida.de/guttalax-tropfen.html;onSale;Active
AT-P1253200-20G;"Finalgon Salbe";"7.72 EUR";"10.90 EUR";1253200;"Wärmesalbehilfe bei Rücken- schmerzen und Verspannungen";"Finalgon Salbe";"Rücken, Gelenke & Muskeln > Sport & Fitness > Schmerzmittel";1;"7.72 EUR";41%;"3.18 EUR";"Finalgon Salbe";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P1253200-20G-17720446.jpg;https://www.vamida.de/finalgon-salbe.html;onSale;Active
AT-P3761018-200ST;"Esberitox Tabletten 200ST";"19.46 EUR";"24.30 EUR";3761018;"Schnelle Hilfe bei Erkältungskrankheiten";Esberitox;"Erkältung & Abwehr > Erkältung > Nahrungsergänzungsmittel";0;"19.46 EUR";25%;"4.84 EUR";Esberitox;https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P3761018-200ST-16477812.jpg;https://www.vamida.de/esberitox-tabletten-200st.html;onSale;Active
AT-P0046628-50ML;"Prospan Hustentropfen 50ML";"5.67 EUR";"7.90 EUR";46628;"Arzneimittel zur raschen Linderung des Hustenreizes";Prospan;"Erkältung & Abwehr > Prospan > Erkältung";3;"5.67 EUR";39%;"2.23 EUR";Prospan;https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P0046628-50ML-17421811.jpg;https://www.vamida.de/prospan-hustentropfen-50ml.html;onSale;Active
AT-P0046611-20ML;"Prospan Hustentropfen 20ML";"3.40 EUR";"5.00 EUR";46611;"Arzneimittel zur raschen Linderung des Hustenreizes";Prospan;"Erkältung & Abwehr > Prospan > Erkältung";0;"3.40 EUR";47%;"1.60 EUR";Prospan;https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P0046611-20ML-17421601.jpg;https://www.vamida.de/prospan-hustentropfen-20ml.html;onSale;Active
AT-P2475428-200ML;"Prospan Hustensaft 200ML";"9.13 EUR";"12.50 EUR";2475428;"Zur raschen, natürlichen Linderung von Hustenreiz";Prospan;"Erkältung & Abwehr > Prospan > Erkältung";0;"9.13 EUR";37%;"3.37 EUR";Prospan;https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P2475428-200ML-17282186.jpg;https://www.vamida.de/prospan-hustensaft-200ml.html;onSale;Active
AT-P1321663-100ML;"Prospan Hustensaft 100ML";"5.67 EUR";"7.90 EUR";1321663;"Zur raschen, natürlichen Linderung von Hustenreiz";Prospan;"Erkältung & Abwehr > Prospan > Erkältung";1;"5.67 EUR";39%;"2.23 EUR";Prospan;https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P1321663-100ML-17281908.jpg;https://www.vamida.de/prospan-hustensaft-100ml.html;onSale;Active
AT-P3521509-21ST;"Prospan Hustenliquid 5ml";"6.14 EUR";"8.60 EUR";3521509;"Lindert Hustenreiz und ist praktisch für unterwegs";Prospan;"Erkältung & Abwehr > Prospan > Erkältung > Summer Sale 2016";1;"6.14 EUR";40%;"2.46 EUR";Prospan;https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P3521509-21ST-17421349.jpg;https://www.vamida.de/prospan-hustenliquid-5ml.html;onSale;Active
